Date,Rate,"ISO Code From","ISO Code To"
"9/13/2023 Wednesday",35.73000,USD,THB
"9/14/2023 Thursday",35.79650,USD,THB
"9/15/2023 Friday",35.66028,USD,THB
"9/18/2023 Monday",35.69550,USD,THB
"9/19/2023 Tuesday",36.04000,USD,THB
"9/20/2023 Wednesday",36.15539,USD,THB
"9/21/2023 Thursday",36.13150,USD,THB
"9/22/2023 Friday",35.88888,USD,THB
"9/25/2023 Monday",36.17281,USD,THB
"9/26/2023 Tuesday",36.40000,USD,THB
"9/27/2023 Wednesday",36.65900,USD,THB
"9/28/2023 Thursday",36.54000,USD,THB
"9/29/2023 Friday",36.54088,USD,THB
"10/2/2023 Monday",36.99760,USD,THB
"10/3/2023 Tuesday",37.07340,USD,THB
"10/4/2023 Wednesday",36.95300,USD,THB
"10/5/2023 Thursday",36.94000,USD,THB
"10/6/2023 Friday",36.94695,USD,THB
"10/9/2023 Monday",36.98000,USD,THB
"10/10/2023 Tuesday",36.61000,USD,THB
"10/11/2023 Wednesday",36.44000,USD,THB
"10/12/2023 Thursday",36.40000,USD,THB
"10/13/2023 Friday",36.35231,USD,THB
"10/16/2023 Monday",36.30625,USD,THB
"10/17/2023 Tuesday",36.33950,USD,THB
"10/18/2023 Wednesday",36.39800,USD,THB
"10/19/2023 Thursday",36.44950,USD,THB
"10/20/2023 Friday",36.47131,USD,THB
"10/23/2023 Monday",36.32854,USD,THB
"10/24/2023 Tuesday",36.17337,USD,THB
"10/25/2023 Wednesday",36.23000,USD,THB
"10/26/2023 Thursday",36.26346,USD,THB
"10/27/2023 Friday",36.10757,USD,THB
"10/30/2023 Monday",35.92000,USD,THB
"10/31/2023 Tuesday",36.16300,USD,THB
"11/1/2023 Wednesday",36.14000,USD,THB
"11/2/2023 Thursday",35.95550,USD,THB
"11/3/2023 Friday",35.57336,USD,THB
"11/6/2023 Monday",35.49000,USD,THB
"11/7/2023 Tuesday",35.54045,USD,THB
"11/8/2023 Wednesday",35.53850,USD,THB
"11/9/2023 Thursday",35.78950,USD,THB
"11/10/2023 Friday",35.89473,USD,THB
"11/13/2023 Monday",36.00000,USD,THB
"11/14/2023 Tuesday",35.57894,USD,THB
"11/15/2023 Wednesday",35.56223,USD,THB
"11/16/2023 Thursday",35.20422,USD,THB
"11/17/2023 Friday",35.08128,USD,THB
"11/20/2023 Monday",35.19104,USD,THB
"11/21/2023 Tuesday",35.16000,USD,THB
"11/22/2023 Wednesday",35.25717,USD,THB
"11/23/2023 Thursday",35.28200,USD,THB
"11/24/2023 Friday",35.45774,USD,THB
"11/27/2023 Monday",35.05000,USD,THB
"11/28/2023 Tuesday",34.67190,USD,THB
"11/29/2023 Wednesday",34.79000,USD,THB
"11/30/2023 Thursday",35.30000,USD,THB
"12/1/2023 Friday",34.85885,USD,THB
"12/4/2023 Monday",35.24083,USD,THB
"12/5/2023 Tuesday",35.27000,USD,THB
"12/6/2023 Wednesday",35.23350,USD,THB
"12/7/2023 Thursday",35.16000,USD,THB
"12/8/2023 Friday",35.51956,USD,THB
"12/11/2023 Monday",35.71400,USD,THB
"12/12/2023 Tuesday",35.71171,USD,THB
"12/13/2023 Wednesday",35.12550,USD,THB
"12/14/2023 Thursday",34.87000,USD,THB
"12/15/2023 Friday",34.85678,USD,THB
"12/18/2023 Monday",34.97200,USD,THB
"12/19/2023 Tuesday",34.83000,USD,THB
"12/20/2023 Wednesday",34.98000,USD,THB
"12/21/2023 Thursday",34.76000,USD,THB
"12/22/2023 Friday",34.53185,USD,THB
"12/25/2023 Monday",34.55450,USD,THB
"12/26/2023 Tuesday",34.53000,USD,THB
"12/27/2023 Wednesday",34.31000,USD,THB
"12/28/2023 Thursday",34.29550,USD,THB
"12/29/2023 Friday",34.19784,USD,THB
"1/1/2024 Monday",34.35000,USD,THB
"1/2/2024 Tuesday",34.26500,USD,THB
"1/3/2024 Wednesday",34.43050,USD,THB
"1/4/2024 Thursday",34.55050,USD,THB
"1/5/2024 Friday",34.66119,USD,THB
"1/8/2024 Monday",34.95000,USD,THB
"1/9/2024 Tuesday",34.97250,USD,THB
"1/10/2024 Wednesday",35.06350,USD,THB
"1/11/2024 Thursday",35.04000,USD,THB
"1/12/2024 Friday",34.89946,USD,THB
"1/15/2024 Monday",34.96750,USD,THB
"1/16/2024 Tuesday",35.40000,USD,THB
"1/17/2024 Wednesday",35.57000,USD,THB
"1/18/2024 Thursday",35.56251,USD,THB
"1/19/2024 Friday",35.47441,USD,THB
"1/22/2024 Monday",35.60650,USD,THB
"1/23/2024 Tuesday",35.69505,USD,THB
"1/24/2024 Wednesday",35.73000,USD,THB
"1/25/2024 Thursday",35.72050,USD,THB
"1/26/2024 Friday",35.61703,USD,THB
"1/29/2024 Monday",35.44600,USD,THB
"1/30/2024 Tuesday",35.38250,USD,THB
"1/31/2024 Wednesday",35.56100,USD,THB
"2/1/2024 Thursday",35.33531,USD,THB
"2/2/2024 Friday",35.44020,USD,THB
"2/5/2024 Monday",35.80242,USD,THB
"2/6/2024 Tuesday",35.57650,USD,THB
"2/7/2024 Wednesday",35.59700,USD,THB
"2/8/2024 Thursday",35.81950,USD,THB
"2/9/2024 Friday",35.92821,USD,THB
"2/12/2024 Monday",35.89000,USD,THB
"2/13/2024 Tuesday",36.06500,USD,THB
"2/14/2024 Wednesday",36.11000,USD,THB
"2/15/2024 Thursday",36.04146,USD,THB
"2/16/2024 Friday",35.93134,USD,THB
"2/19/2024 Monday",36.08000,USD,THB
"2/20/2024 Tuesday",36.00000,USD,THB
"2/21/2024 Wednesday",35.87000,USD,THB
"2/22/2024 Thursday",35.94100,USD,THB
"2/23/2024 Friday",35.86767,USD,THB
"2/26/2024 Monday",35.93850,USD,THB
"2/27/2024 Tuesday",35.88000,USD,THB
"2/28/2024 Wednesday",35.99000,USD,THB
"2/29/2024 Thursday",35.89300,USD,THB
"3/1/2024 Friday",35.80174,USD,THB
"3/4/2024 Monday",35.73725,USD,THB
"3/5/2024 Tuesday",35.79000,USD,THB
"3/6/2024 Wednesday",35.62492,USD,THB
"3/7/2024 Thursday",35.54000,USD,THB
"3/8/2024 Friday",35.38715,USD,THB
"3/11/2024 Monday",35.48650,USD,THB
